DATE,PRCP,TMAX,TMIN,drougth
16/06/1948,0.09,60,52,True
17/06/1948,0.01,66,51,True
18/06/1948,0.0,71,50,False
19/06/1948,0.0,68,52,False
20/06/1948,0.76,60,52,True
21/06/1948,0.01,63,50,True
22/06/1948,0.0,62,49,False
23/06/1948,0.0,70,47,False
24/06/1948,0.0,64,50,False
25/06/1948,0.0,64,48,False
26/06/1948,0.0,74,50,False
27/06/1948,0.0,79,52,False
28/06/1948,0.0,82,57,False
29/06/1948,0.0,83,56,False
30/06/1948,0.0,74,53,False
01/07/1948,0.0,69,45,False
02/07/1948,0.0,70,44,False
03/07/1948,0.0,77,47,False
04/07/1948,0.24,66,49,True
05/07/1948,0.27,67,50,True
06/07/1948,0.44,71,51,True
07/07/1948,0.09,66,51,True
08/07/1948,0.0,71,48,False
09/07/1948,0.0,78,51,False
10/07/1948,0.0,73,55,False
11/07/1948,0.0,71,54,False
12/07/1948,0.0,72,50,False
13/07/1948,0.0,76,50,False
14/07/1948,0.0,77,51,False
15/07/1948,0.0,82,51,False
16/07/1948,0.0,80,55,False
17/07/1948,0.0,82,55,False
18/07/1948,0.05,61,54,True
19/07/1948,0.09,64,55,True
20/07/1948,0.0,67,54,False
21/07/1948,0.0,74,55,False
22/07/1948,0.0,71,53,False
23/07/1948,0.01,71,53,True
24/07/1948,0.0,72,49,False
25/07/1948,0.0,79,48,False
26/07/1948,0.34,80,52,True
27/07/1948,0.0,67,51,False
28/07/1948,0.0,71,53,False
29/07/1948,0.0,74,51,False
30/07/1948,0.0,80,57,False
31/07/1948,0.0,88,57,False
01/08/1948,0.0,75,54,False
02/08/1948,0.0,68,55,False
03/08/1948,0.01,68,55,True
04/08/1948,0.0,64,50,False
05/08/1948,0.36,63,49,True
06/08/1948,0.0,70,51,False
07/08/1948,0.0,70,48,False
08/08/1948,0.0,75,51,False
09/08/1948,0.0,71,55,False
10/08/1948,0.0,69,54,False
11/08/1948,0.0,64,53,False
12/08/1948,0.0,74,56,False
13/08/1948,0.06,65,53,True
14/08/1948,0.0,68,49,False
15/08/1948,0.41,68,53,True
16/08/1948,0.05,70,54,True
17/08/1948,0.07,74,55,True
18/08/1948,0.0,73,55,False
19/08/1948,0.0,68,52,False
20/08/1948,0.01,64,52,True
21/08/1948,0.11,65,55,True
22/08/1948,0.01,70,54,True
23/08/1948,0.11,69,50,True
24/08/1948,0.34,62,53,True
25/08/1948,0.0,72,55,False
26/08/1948,0.01,72,52,True
27/08/1948,0.24,61,53,True
28/08/1948,0.0,80,55,False
29/08/1948,0.05,75,57,True
30/08/1948,0.03,70,54,True
31/08/1948,0.0,73,51,False
01/09/1948,0.0,74,50,False
02/09/1948,0.08,69,52,True
03/09/1948,0.05,70,51,True
04/09/1948,0.0,68,50,False
05/09/1948,0.0,70,45,False
06/09/1948,0.0,70,45,False
07/09/1948,0.0,73,50,False
08/09/1948,0.0,78,56,False
09/09/1948,0.0,81,57,False
10/09/1948,0.0,81,55,False
11/09/1948,0.0,76,54,False
12/09/1948,0.0,75,52,False
13/09/1948,0.0,76,52,False
14/09/1948,0.08,67,50,True
15/09/1948,0.47,64,49,True
16/09/1948,0.0,63,45,False
17/09/1948,0.0,68,45,False
18/09/1948,0.0,70,41,False
19/09/1948,0.0,70,47,False
20/09/1948,0.0,69,52,False
21/09/1948,0.34,61,49,True
22/09/1948,0.36,51,43,True
23/09/1948,0.07,54,40,True
24/09/1948,0.0,58,38,False
25/09/1948,0.0,59,37,False
26/09/1948,1.51,49,44,True
27/09/1948,0.06,69,44,True
28/09/1948,0.83,59,42,True
29/09/1948,0.0,57,39,False
30/09/1948,0.0,63,41,False
01/10/1948,0.0,76,41,False
02/10/1948,0.03,69,48,True
03/10/1948,0.35,64,52,True
04/10/1948,0.21,61,45,True
05/10/1948,0.0,55,42,False
06/10/1948,0.14,59,45,True
07/10/1948,0.03,64,46,True
08/10/1948,0.0,62,41,False
09/10/1948,0.0,69,38,False
10/10/1948,0.66,55,48,True
11/10/1948,0.0,56,43,False
12/10/1948,0.0,57,42,False
13/10/1948,0.0,54,39,False
14/10/1948,0.0,58,42,False
15/10/1948,0.0,56,38,False
16/10/1948,0.0,60,41,False
17/10/1948,0.0,65,40,False
18/10/1948,0.0,67,42,False
19/10/1948,0.0,62,43,False
20/10/1948,0.0,63,40,False
21/10/1948,0.0,57,43,False
22/10/1948,0.0,61,45,False
23/10/1948,0.19,59,44,True
24/10/1948,0.13,60,44,True
25/10/1948,0.18,56,42,True
26/10/1948,0.04,54,36,True
27/10/1948,0.0,55,32,False
28/10/1948,0.09,44,35,True
29/10/1948,0.0,54,40,False
30/10/1948,0.2,46,43,True
31/10/1948,0.08,46,41,True
01/11/1948,0.0,47,37,False
02/11/1948,0.66,49,41,True
03/11/1948,0.07,53,36,True
04/11/1948,0.18,50,35,True
05/11/1948,0.09,51,39,True
06/11/1948,0.0,52,34,False
07/11/1948,0.0,46,34,False
08/11/1948,0.0,46,27,False
09/11/1948,0.0,45,27,False
10/11/1948,0.0,46,30,False
11/11/1948,0.0,42,31,False
12/11/1948,0.07,45,38,True
13/11/1948,0.15,48,41,True
14/11/1948,0.87,50,41,True
15/11/1948,0.43,46,39,True
16/11/1948,0.67,47,37,True
17/11/1948,0.07,47,35,True
18/11/1948,0.07,45,34,True
19/11/1948,0.22,47,39,True
20/11/1948,0.09,50,41,True
21/11/1948,0.03,48,40,True
22/11/1948,0.0,55,40,False
23/11/1948,0.33,50,41,True
24/11/1948,0.05,50,42,True
25/11/1948,0.54,48,32,True
26/11/1948,0.0,45,32,False
27/11/1948,0.49,48,36,True
28/11/1948,0.49,46,36,True
29/11/1948,0.2,45,37,True
30/11/1948,0.29,45,39,True
01/12/1948,0.78,46,38,True
02/12/1948,0.0,44,34,False
03/12/1948,0.01,41,31,True
04/12/1948,0.11,39,30,True
05/12/1948,0.35,41,33,True
06/12/1948,0.25,42,36,True
07/12/1948,0.29,39,35,True
08/12/1948,0.39,38,32,True
09/12/1948,0.84,45,34,True
10/12/1948,0.16,46,39,True
11/12/1948,0.17,42,38,True
12/12/1948,0.02,42,35,True
13/12/1948,0.3,37,33,True
14/12/1948,0.02,39,33,True
15/12/1948,0.01,39,31,True
16/12/1948,0.0,45,29,False
17/12/1948,0.0,36,24,False
18/12/1948,0.0,37,24,False
19/12/1948,0.73,45,36,True
20/12/1948,0.0,45,32,False
21/12/1948,0.0,39,31,False
22/12/1948,0.16,37,28,True
23/12/1948,0.0,42,19,False
24/12/1948,0.0,36,16,False
25/12/1948,0.0,40,29,False
26/12/1948,0.0,47,22,False
27/12/1948,0.0,34,21,False
28/12/1948,0.33,45,31,True
29/12/1948,0.29,43,34,True
30/12/1948,0.46,44,35,True
31/12/1948,0.46,41,32,True
01/01/1949,0.0,35,26,False
02/01/1949,0.03,40,22,True
03/01/1949,0.0,40,17,False
04/01/1949,0.0,42,20,False
05/01/1949,0.0,41,28,False
06/01/1949,0.03,49,37,True
07/01/1949,0.52,46,26,True
08/01/1949,0.0,30,18,False
09/01/1949,0.0,32,13,False
10/01/1949,0.0,30,12,False
11/01/1949,0.0,37,17,False
12/01/1949,0.0,36,19,False
13/01/1949,0.0,41,19,False
14/01/1949,0.0,36,25,False
15/01/1949,0.0,46,28,False
16/01/1949,0.0,43,26,False
17/01/1949,0.03,43,33,True
18/01/1949,0.02,35,29,True
19/01/1949,0.0,35,24,False
20/01/1949,0.0,30,20,False
21/01/1949,0.03,35,22,True
22/01/1949,0.01,33,21,True
23/01/1949,0.0,30,16,False
24/01/1949,0.0,29,17,False
25/01/1949,0.0,39,17,False
26/01/1949,0.1,31,26,True
27/01/1949,0.0,35,24,False
28/01/1949,0.0,41,16,False
29/01/1949,0.0,40,26,False
30/01/1949,0.0,38,28,False
31/01/1949,0.0,37,29,False
01/02/1949,0.0,37,23,False
02/02/1949,0.1,33,25,True
03/02/1949,0.03,35,27,True
04/02/1949,0.11,33,24,True
05/02/1949,0.06,35,21,True
06/02/1949,0.06,37,31,True
07/02/1949,0.0,38,31,False
08/02/1949,0.0,41,33,False
09/02/1949,0.43,43,34,True
10/02/1949,0.96,43,30,True
11/02/1949,0.02,37,27,True
12/02/1949,0.0,32,21,False
13/02/1949,0.0,34,18,False
14/02/1949,0.18,38,30,True
15/02/1949,0.12,42,33,True
16/02/1949,1.83,48,41,True
17/02/1949,0.07,46,33,True
18/02/1949,0.01,40,31,True
19/02/1949,0.32,33,29,True
20/02/1949,0.15,39,26,True
21/02/1949,0.97,47,36,True
22/02/1949,0.47,50,44,True
23/02/1949,0.0,59,39,False
24/02/1949,0.0,62,37,False
25/02/1949,0.0,62,35,False
26/02/1949,0.0,62,34,False
27/02/1949,0.0,62,32,False
28/02/1949,0.0,66,30,False
01/03/1949,0.0,55,38,False
02/03/1949,0.0,54,41,False
03/03/1949,0.0,61,38,False
04/03/1949,0.0,58,34,False
05/03/1949,0.0,57,38,False
06/03/1949,0.0,53,41,False
07/03/1949,0.0,48,40,False
08/03/1949,0.06,48,38,True
09/03/1949,0.0,54,33,False
10/03/1949,0.0,56,39,False
11/03/1949,0.0,60,41,False
12/03/1949,0.6,47,43,True
13/03/1949,0.08,49,41,True
14/03/1949,0.19,48,41,True
15/03/1949,0.06,54,38,True
16/03/1949,0.34,55,42,True
17/03/1949,0.28,58,43,True
18/03/1949,0.33,63,44,True
19/03/1949,0.65,55,44,True
20/03/1949,0.27,48,41,True
21/03/1949,0.0,52,37,False
22/03/1949,0.0,53,33,False
23/03/1949,0.0,55,33,False
24/03/1949,0.0,54,36,False
25/03/1949,0.16,53,38,True
26/03/1949,0.03,52,37,True
27/03/1949,0.0,52,32,False
28/03/1949,0.0,51,30,False
29/03/1949,0.49,43,35,True
30/03/1949,0.0,49,35,False
31/03/1949,0.0,55,30,False
01/04/1949,0.07,46,38,True
02/04/1949,0.0,55,38,False
03/04/1949,0.0,62,34,False
04/04/1949,0.0,72,40,False
05/04/1949,0.02,57,40,True
06/04/1949,0.0,64,36,False
07/04/1949,0.0,51,38,False
08/04/1949,0.0,60,43,False
09/04/1949,0.0,71,41,False
10/04/1949,0.0,67,43,False
11/04/1949,0.0,58,43,False
12/04/1949,0.0,58,42,False
13/04/1949,0.0,55,40,False
14/04/1949,0.0,73,35,False
15/04/1949,0.0,71,42,False
16/04/1949,0.0,58,45,False
17/04/1949,0.0,54,39,False
18/04/1949,0.0,53,45,False
19/04/1949,0.2,55,43,True
20/04/1949,0.23,57,43,True
21/04/1949,0.01,54,42,True
22/04/1949,0.25,55,40,True
23/04/1949,0.16,58,43,True
24/04/1949,0.0,59,41,False
25/04/1949,0.01,59,43,True
26/04/1949,0.0,69,40,False
27/04/1949,0.06,63,43,True
28/04/1949,0.1,61,46,True
29/04/1949,0.0,52,39,False
30/04/1949,0.07,55,38,True
01/05/1949,0.81,52,43,True
02/05/1949,0.11,54,40,True
03/05/1949,0.0,56,37,False
04/05/1949,0.0,59,38,False
05/05/1949,0.0,72,36,False
06/05/1949,0.0,70,46,False
07/05/1949,0.0,77,47,False
08/05/1949,0.0,77,47,False
09/05/1949,0.0,74,46,False
10/05/1949,0.0,73,44,False
11/05/1949,0.0,80,48,False
12/05/1949,0.0,78,51,False
13/05/1949,0.0,77,50,False
14/05/1949,0.0,76,47,False
15/05/1949,0.0,65,49,False
16/05/1949,0.0,59,45,False
17/05/1949,0.0,65,45,False
18/05/1949,0.0,78,48,False
19/05/1949,0.27,61,47,True
20/05/1949,0.0,68,48,False
21/05/1949,0.0,70,48,False
22/05/1949,0.0,71,52,False
23/05/1949,0.0,76,48,False
24/05/1949,0.0,68,51,False
25/05/1949,0.0,71,47,False
26/05/1949,0.0,71,46,False
27/05/1949,0.1,61,51,True
28/05/1949,0.0,65,47,False
29/05/1949,0.0,67,45,False
30/05/1949,0.0,66,47,False
31/05/1949,0.01,64,47,True
01/06/1949,0.06,64,47,True
02/06/1949,0.0,67,46,False
03/06/1949,0.0,74,45,False
04/06/1949,0.0,80,50,False
05/06/1949,0.0,84,52,False
06/06/1949,0.0,83,53,False
07/06/1949,0.0,72,45,False
08/06/1949,0.0,79,47,False
09/06/1949,0.07,76,50,True
10/06/1949,0.0,68,52,False
11/06/1949,0.0,74,47,False
12/06/1949,0.0,74,46,False
13/06/1949,0.0,74,47,False
14/06/1949,0.0,80,47,False
15/06/1949,0.0,68,43,False
16/06/1949,0.09,65,44,True
17/06/1949,0.16,73,44,True
18/06/1949,0.0,77,46,False
19/06/1949,0.02,66,49,True
20/06/1949,0.03,71,52,True
21/06/1949,0.0,74,49,False
22/06/1949,0.0,63,51,False
23/06/1949,0.0,68,51,False
24/06/1949,0.01,64,47,True
25/06/1949,0.01,64,45,True
26/06/1949,0.28,63,46,True
27/06/1949,0.01,61,45,True
28/06/1949,0.17,61,45,True
29/06/1949,0.02,64,45,True
30/06/1949,0.0,73,43,False
01/07/1949,0.0,70,45,False
02/07/1949,0.0,72,48,False
03/07/1949,0.0,75,45,False
04/07/1949,0.0,72,43,False
05/07/1949,0.0,68,50,False
06/07/1949,0.0,69,45,False
07/07/1949,0.0,74,50,False
08/07/1949,0.0,80,49,False
09/07/1949,0.0,83,54,False
10/07/1949,0.0,82,50,False
11/07/1949,0.0,75,52,False
12/07/1949,0.0,83,49,False
13/07/1949,0.0,86,50,False
14/07/1949,0.0,85,57,False
15/07/1949,0.0,78,55,False
16/07/1949,0.0,72,54,False
17/07/1949,0.0,77,51,False
18/07/1949,0.07,68,53,True
19/07/1949,0.07,66,53,True
20/07/1949,0.0,69,52,False
21/07/1949,0.0,71,50,False
22/07/1949,0.0,68,54,False
23/07/1949,0.54,66,55,True
24/07/1949,0.05,70,52,True
25/07/1949,0.11,62,54,True
26/07/1949,0.11,65,51,True
27/07/1949,0.09,69,50,True
28/07/1949,0.0,75,51,False
29/07/1949,0.0,80,51,False
30/07/1949,0.0,80,55,False
31/07/1949,0.0,86,56,False
01/08/1949,0.0,92,62,False
02/08/1949,0.0,74,55,False
03/08/1949,0.0,71,55,False
04/08/1949,0.02,73,55,True
05/08/1949,0.0,74,53,False
06/08/1949,0.08,66,54,True
07/08/1949,0.01,67,53,True
08/08/1949,0.0,73,54,False
09/08/1949,0.0,74,51,False
10/08/1949,0.0,73,53,False
11/08/1949,0.01,70,57,True
12/08/1949,0.06,68,49,True
13/08/1949,0.0,72,51,False
14/08/1949,0.0,71,48,False
15/08/1949,0.0,78,50,False
16/08/1949,0.0,72,58,False
17/08/1949,0.0,77,54,False
18/08/1949,0.0,77,52,False
19/08/1949,0.0,81,50,False
20/08/1949,0.0,73,52,False
21/08/1949,0.0,73,55,False
22/08/1949,0.0,75,49,False
23/08/1949,0.0,76,50,False
24/08/1949,0.25,70,49,True
25/08/1949,0.0,71,53,False
26/08/1949,0.0,76,48,False
27/08/1949,0.0,80,52,False
28/08/1949,0.0,85,56,False
29/08/1949,0.0,83,55,False
30/08/1949,0.02,68,53,True
31/08/1949,0.0,75,55,False
01/09/1949,0.0,78,50,False
02/09/1949,0.0,77,51,False
03/09/1949,0.0,82,59,False
04/09/1949,0.0,83,62,False
05/09/1949,0.0,81,61,False
06/09/1949,0.0,87,55,False
07/09/1949,0.0,85,53,False
08/09/1949,0.0,75,51,False
09/09/1949,0.0,70,54,False
10/09/1949,0.0,67,53,False
11/09/1949,0.0,68,45,False
12/09/1949,0.0,76,44,False
13/09/1949,0.0,79,47,False
14/09/1949,0.73,61,52,True
15/09/1949,0.35,60,51,True
16/09/1949,0.23,62,48,True
17/09/1949,0.0,61,47,False
18/09/1949,0.08,63,51,True
19/09/1949,0.02,62,49,True
20/09/1949,0.0,65,40,False
21/09/1949,0.0,68,46,False
22/09/1949,0.0,73,44,False
23/09/1949,0.0,73,46,False
24/09/1949,0.0,60,51,False
25/09/1949,0.0,66,51,False
26/09/1949,0.0,77,46,False
27/09/1949,0.0,82,50,False
28/09/1949,0.0,64,54,False
29/09/1949,0.0,65,55,False
30/09/1949,0.02,60,49,True
01/10/1949,0.0,65,49,False
02/10/1949,0.0,65,43,False
03/10/1949,0.14,56,39,True
04/10/1949,0.74,54,47,True
05/10/1949,0.0,61,44,False
06/10/1949,0.2,53,42,True
07/10/1949,0.15,57,41,True
08/10/1949,0.0,53,39,False
09/10/1949,0.18,60,43,True
10/10/1949,0.12,56,41,True
11/10/1949,0.04,59,46,True
12/10/1949,0.0,60,43,False
13/10/1949,0.0,57,37,False
14/10/1949,0.0,63,36,False
15/10/1949,0.2,59,42,True
16/10/1949,0.0,53,41,False
17/10/1949,0.05,51,34,True
18/10/1949,0.0,48,32,False
19/10/1949,0.0,50,28,False
20/10/1949,0.0,53,29,False
21/10/1949,0.0,55,32,False
22/10/1949,0.0,60,39,False
23/10/1949,0.0,47,41,False
24/10/1949,0.0,52,42,False
25/10/1949,0.0,48,42,False
26/10/1949,0.17,52,44,True
27/10/1949,1.17,57,48,True
28/10/1949,0.69,58,48,True
29/10/1949,0.0,57,41,False
30/10/1949,0.0,65,41,False
31/10/1949,0.0,71,42,False
01/11/1949,0.0,63,40,False
02/11/1949,0.0,69,38,False
03/11/1949,0.0,69,38,False
04/11/1949,0.0,74,41,False
05/11/1949,0.0,65,40,False
06/11/1949,0.0,55,39,False
07/11/1949,0.01,52,38,True
08/11/1949,0.06,51,44,True
09/11/1949,0.26,51,39,True
10/11/1949,0.27,51,42,True
11/11/1949,0.69,55,45,True
12/11/1949,1.38,50,44,True
13/11/1949,0.23,54,49,True
14/11/1949,0.12,56,47,True
15/11/1949,0.0,53,44,False
16/11/1949,0.0,66,43,False
17/11/1949,0.0,56,43,False
18/11/1949,0.06,53,45,True
19/11/1949,0.0,50,45,False
20/11/1949,0.0,49,39,False
21/11/1949,0.0,54,35,False
22/11/1949,0.67,54,39,True
23/11/1949,0.22,52,47,True
24/11/1949,0.15,58,48,True
25/11/1949,0.3,59,47,True
26/11/1949,1.17,61,48,True
27/11/1949,0.37,54,46,True
28/11/1949,0.42,49,43,True
29/11/1949,0.37,50,40,True
30/11/1949,0.03,52,43,True
01/12/1949,0.43,55,48,True
02/12/1949,0.0,49,38,False
03/12/1949,0.0,45,30,False
04/12/1949,0.0,54,41,False
05/12/1949,0.1,47,35,True
06/12/1949,0.0,45,31,False
07/12/1949,0.0,45,34,False
08/12/1949,0.02,44,27,True
09/12/1949,0.07,43,32,True
10/12/1949,0.01,38,25,True
11/12/1949,0.13,34,24,True
12/12/1949,0.11,37,31,True
13/12/1949,0.0,45,36,False
14/12/1949,0.0,49,38,False
15/12/1949,0.15,43,33,True
16/12/1949,0.21,40,35,True
17/12/1949,0.1,42,33,True
18/12/1949,0.3,34,24,True
19/12/1949,0.0,30,17,False
20/12/1949,0.07,37,22,True
21/12/1949,0.02,44,35,True
22/12/1949,0.01,47,42,True
23/12/1949,1.14,47,36,True
24/12/1949,0.03,42,32,True
25/12/1949,0.23,43,37,True
26/12/1949,0.12,42,39,True
27/12/1949,1.27,48,41,True
28/12/1949,0.26,52,44,True
29/12/1949,0.22,54,32,True
30/12/1949,0.23,38,29,True
31/12/1949,0.07,36,29,True
01/01/1950,0.25,32,24,True
02/01/1950,0.01,24,6,True
03/01/1950,0.1,26,6,True
04/01/1950,0.0,28,14,False
05/01/1950,0.08,38,22,True
06/01/1950,0.95,39,35,True
07/01/1950,0.31,37,33,True
08/01/1950,0.22,33,31,True
09/01/1950,0.13,35,30,True
10/01/1950,0.33,42,31,True
11/01/1950,0.05,35,29,True
12/01/1950,0.0,32,18,False
13/01/1950,1.27,19,11,True
14/01/1950,0.16,16,8,True
15/01/1950,0.02,21,15,True
16/01/1950,0.0,22,13,False
17/01/1950,0.0,24,15,False
18/01/1950,0.29,25,9,True
19/01/1950,1.07,42,24,True
20/01/1950,1.46,48,37,True
21/01/1950,0.43,48,42,True
22/01/1950,0.47,45,36,True
23/01/1950,0.04,36,25,True
24/01/1950,0.0,26,10,False
25/01/1950,0.24,24,7,True
26/01/1950,1.03,35,21,True
27/01/1950,0.0,28,19,False
28/01/1950,0.0,25,7,False
29/01/1950,0.0,24,6,False
30/01/1950,0.0,22,7,False
31/01/1950,0.0,20,0,False
01/02/1950,0.0,27,1,False
02/02/1950,0.0,30,8,False
03/02/1950,0.01,35,8,True
04/02/1950,0.27,41,33,True
05/02/1950,0.07,43,34,True
06/02/1950,0.29,40,35,True
07/02/1950,0.08,46,35,True
08/02/1950,0.6,44,35,True
09/02/1950,0.02,45,37,True
10/02/1950,0.21,42,36,True
11/02/1950,0.0,44,39,False
12/02/1950,0.79,44,38,True
13/02/1950,0.23,52,41,True
14/02/1950,0.28,54,42,True
15/02/1950,0.45,54,46,True
16/02/1950,0.15,50,39,True
17/02/1950,0.01,54,39,True
18/02/1950,0.04,52,38,True
19/02/1950,0.0,46,34,False
20/02/1950,0.03,46,36,True
21/02/1950,0.06,47,37,True
22/02/1950,0.02,50,40,True
23/02/1950,0.83,49,39,True
24/02/1950,0.15,49,41,True
25/02/1950,0.8,58,41,True
26/02/1950,0.35,53,36,True
27/02/1950,0.0,46,31,False
28/02/1950,0.0,50,29,False
01/03/1950,0.0,55,35,False
02/03/1950,0.27,50,39,True
03/03/1950,2.08,56,46,True
04/03/1950,0.85,47,42,True
05/03/1950,0.36,49,40,True
06/03/1950,0.0,46,36,False
07/03/1950,0.0,46,28,False
08/03/1950,0.06,47,36,True
09/03/1950,0.11,44,35,True
10/03/1950,0.04,42,31,True
11/03/1950,0.0,41,27,False
12/03/1950,0.03,43,32,True
13/03/1950,0.12,47,33,True
14/03/1950,0.0,49,39,False
15/03/1950,0.05,49,40,True
16/03/1950,0.98,49,42,True
17/03/1950,1.05,54,40,True
18/03/1950,0.88,46,40,True
19/03/1950,0.17,52,38,True
20/03/1950,0.19,46,33,True
21/03/1950,0.23,49,34,True
22/03/1950,0.08,45,36,True
23/03/1950,0.23,46,34,True
24/03/1950,0.03,50,35,True
25/03/1950,0.0,51,35,False
26/03/1950,0.36,46,38,True
27/03/1950,0.01,47,36,True
28/03/1950,0.0,47,31,False
29/03/1950,0.0,52,28,False
30/03/1950,0.06,45,41,True
